date,text,感情,エピソード
2025-03-02 10:27:06+00:00,絞ったスポンジでファンデ再挑戦してみるか……,,
2025-03-02 10:22:44+00:00,絞っちゃって良いんだ　絞ったら水含ませた意味ないよな～？と思って絞ってなかった,,
2025-03-02 10:22:29+00:00,スポンジを間違って使ってる人多いかも😭！NGメイク3選 #水アリスポンジ#ファンデーション#塗り方#さゆりメイク https://t.co/6H7LWYZIcp via @YouTube,,
2025-03-02 08:45:41+00:00,わワッパー半分だけ食べるつもりが全部食べちゃった　食べれてしまった　食いしんボーイ,,
2025-03-02 07:48:15+00:00,2件ともOKきた　ヨッシャー　帰ったら納品じゃ,,
2025-03-02 07:23:17+00:00,バーキン買いに行こかな　ワッパー２食分になるし,,
2025-03-02 07:13:34+00:00,マック食いたくなってきた,,
2025-03-02 07:02:39+00:00,確かに寝つき悪くてもがいてた,,
2025-03-02 07:02:01+00:00,今日7時に起きれたからよく寝れたんかな〜＾＾→寝れてなさすぎ https://t.co/V6Mlb1F8oP,,
2025-03-02 06:56:38+00:00,もう16時だけど　お腹すいてないのか　なんでや,,
2025-03-02 06:56:27+00:00,日曜だしなんか外食したいな～と思ってるけどおなかすいてないからなんも思いつかん　完,,
2025-03-02 06:56:00+00:00,とりあえず描けた　納品前確認待ち～,,
2025-03-01 23:50:13+00:00,お仕事絵描くでおま,,
2025-03-01 23:50:00+00:00,くしゃみがとまらん,,
2025-03-01 22:25:03+00:00,起きた,,
2025-03-01 14:52:13+00:00,ゴミは出したけど2月の収支報告はできなかった　えーん,,
2025-03-01 14:39:52+00:00,ちょっと窓開けたら蚊みたいな虫部屋に入ってきてて死　もう虫の季節か,,
2025-03-01 14:32:11+00:00,3月になったのにPayPayカード使える金額0円のままなんだが　なんで？？？？？ https://t.co/RKbkHVoR06,,
2025-03-01 14:03:16+00:00,カシューナッツなくなってきたから注文しようとしたら品切れで泣き,,
2025-03-01 13:38:18+00:00,俺が出してる商品より遥かに高い値段で依頼来てるんだけど、そのままの値段でええんかな　それとも下げるべきか　うーん,,
2025-03-01 13:31:57+00:00,ゴミ出しと２月の収支報告しないといけないんだった　風呂は諦めます,,
2025-03-01 13:30:46+00:00,カレンダ～にスケジュ～ル計算して書いたのでOK～,,
2025-03-01 13:26:44+00:00,もう７日までのスケジュールが埋まっちゃったよ,,
2025-03-01 13:26:31+00:00,コミッション再開初日で5件も来て　ｳｵｵｵｵｵ　スケジュールが埋まる埋まる　マルチタスクできないマンなので死にかけてる,,
